0	[5761, 4778, 3063, 10023, 11981, 8237, 16687, 2412, 13266, 2665, 11622, 20125, 11437, 9663, 13501, 18926, 18508, 15528, 21213, 2174, 13855, 7490, 4068, 20011, 9429, 17972, 19065, 10877, 17366, 12689, 6245, 4916, 6324, 15152, 21078, 7657, 6282, 4394, 12849, 3346, 11680, 11173, 7663, 17819, 1501, 19852, 5482, 7372, 9203, 467, 7756, 16698, 18431, 12589, 20670, 11746, 1154, 3871, 18503, 17085, 18819, 6306, 3774, 12064, 11101, 10794, 13237, 2401, 10732, 15659, 14767, 21448, 14123, 8606, 3385, 6445, 16024, 6272, 13665, 6779, 6757, 17301, 4034, 4224, 13263, 20271, 4066, 12958, 6141, 8312, 9204, 13129, 15779, 14539, 18237, 725, 10690, 16255, 10324, 16206, 758, 20530, 12712, 8586, 13191, 16468, 2718, 14167]
1	[4512, 21101, 13476, 13281, 12505, 6452, 1665, 5647, 646, 17634, 1392, 5013, 21109, 15743, 17244, 5165, 14550, 15269, 4084]
2	[2668, 8191, 12593, 10768, 9776, 9218, 7115, 8914, 6401, 567, 2434, 17309, 9631, 488, 443, 828, 18639, 16535, 148, 13972, 1981, 18560, 12685, 1352, 2524, 5210, 7024, 207, 16511, 3657, 5898, 11615, 19674, 8890, 10949, 5788, 6871, 9016, 15626, 17546, 11892, 16363, 18552, 14157, 15771, 1290, 11392, 18021, 17001, 16179, 53, 20089, 14706, 17403, 8468, 11331, 2201, 17079, 20421, 2971, 2195, 11086, 3302, 17742, 17975, 18210, 11439, 18505, 10736, 11836, 15781, 12271, 2547, 5543, 11977]
3	[12950, 18531, 10276, 20867, 17954, 8337, 12962, 15311, 19841, 18024]
4	[17206, 10115, 12902, 2730, 18281, 7254, 549, 16941, 3133, 19221, 7752, 21256, 2839, 7433, 1370, 11342, 5833, 20011, 11556, 17727, 6330, 960, 17366, 16301, 12977, 13346, 19903, 20014, 7482, 2163, 17236, 14179, 4694, 18540, 18759, 11494, 646, 9385, 14283, 414, 1922, 10499, 3679, 1090, 4887, 6692, 18470, 7816, 6433, 11377, 4479, 17063, 12309, 18954, 8025, 20151, 1728, 13000, 5106, 6873, 535, 11856, 10902, 2170, 18210, 11229, 2080, 1119, 11443, 16715, 9639, 4711, 20731, 20207, 13934, 13603, 16866, 110, 10109]
5	[21330, 18269, 18531, 12623, 3570, 11878, 20728, 17855, 17271, 3657, 16619, 10727, 7927, 18818, 14694, 17551, 6976, 7361, 10420, 6556]
6	[4131, 18204, 3691, 6653, 3456, 5994, 4227, 9423, 1452, 20502, 21120, 16135, 1927, 12083, 18505, 1846]
7	[7115, 18269, 11877, 17106, 12050, 2163, 3657, 1381, 17970, 18324, 910, 14597, 1154, 10727, 13000, 12027, 16139, 21298, 15779, 17987, 11933, 18523, 3994]
8	[8687, 15077, 5712, 10768, 4731, 17055, 7957, 6554, 3133, 6184, 18565, 14779, 19013, 828, 12077, 5462, 11878, 6817, 9215, 12844, 1947, 11602, 14472, 8957, 5606, 18822, 12514, 4168, 6773, 9973, 11548, 15152, 10377, 7210, 17756, 2129, 16762, 20232, 8803, 7657, 10383, 8054, 8446, 11680, 21126, 17970, 18848, 18923, 4908, 9694, 467, 14105, 17916, 13201, 3729, 20670, 7719, 13836, 18509, 4756, 1586, 1154, 98, 14088, 5773, 11928, 1908, 53, 1405, 2179, 3189, 9930, 6899, 10878, 14488, 11465, 1270, 1649, 5224, 4028, 17308, 8702, 8544, 6579, 14235, 2949, 10517, 12083, 18866, 20039, 18070, 20919, 4029, 3, 17975, 5636, 6903, 15779, 15013, 21249, 9656, 5928, 8275, 9787, 16490, 16071, 7246, 498, 19636, 935, 1224, 1846, 5053, 12271, 10839, 6777, 20908, 3322, 5920]
9	[20239, 13094, 1416, 8700, 17309, 18269, 18485, 3133, 14292, 18531, 11241, 14385, 19379, 10317, 5201, 49, 12857, 17509, 18273, 18001, 9215, 16554, 15416, 16847, 1135, 13476, 17855, 12050, 656, 15459, 9949, 18396, 2028, 11555, 20186, 6069, 9813, 12662, 3747, 9254, 305, 11789, 11357, 9616, 20361, 11669, 188, 14967, 1508, 10009, 9940, 16348, 7954, 17763, 3208, 893, 10012, 410, 10875, 18818, 15259, 8825, 17079, 10080, 18760, 19325, 14239, 18866, 19713, 2743, 14748, 8919, 15492, 16828, 9944, 9838, 4385, 7249, 5246, 15874]
